row_index_zero_based,CID,zCMB,c,HOST_LOGMASS,biasCor_m_b,m_b_corr,low_mass_curve,high_mass_curve,delta_m_b_corr,m_b_corr_reconstructed
750,3256,0.10693999999999999,0.0065690000000000002,9.8940000000000001,0.019300000000000001,19.176500000000001,0.016175987520511165,-0.051183975368215728,0.067359962888726893,19.243859962888727
753,500038,0.1081,0.0056499999999999996,9.7365899999999996,0.0082000000000000007,19.148700000000002,0.016108745314582187,-0.050684983897794952,0.06679372921237714,19.21549372921238
770,2916,0.12303,0.071643999999999999,9.7792399999999997,0.037499999999999999,19.343699999999998,0.029014120472957605,-0.083720096638556424,0.11273421711151403,19.456434217111511
771,16021,0.12336,-0.036818999999999998,9.4912700000000001,0.0146,19.363399999999999,0.018014131722634545,-0.025343178316458038,0.043357310039092586,19.40675731003909
773,570062,0.12363,-0.080542000000000002,9.9887899999999998,0.0206,19.571200000000001,0.03276963387688759,0.0071917755532368913,0.025577858323650698,19.596777858323652
778,2992,0.12608,0.10938000000000001,9.7272300000000005,0.050599999999999999,19.242599999999999,0.040639334713181222,-0.10223828200833154,0.14287761672151278,19.385477616721513
780,744,0.12694,0.073210999999999998,9.9092300000000009,0.069699999999999998,19.431899999999999,0.02946503216975329,-0.084473723021495445,0.11393875519124874,19.545838755191248
782,18855,0.12716,-0.022637999999999998,9.8291500000000003,0.012,19.531099999999999,0.016195874872433215,-0.034365460644020566,0.050561335516453781,19.581661335516451
789,1334084,0.13349,0.071312,9.7473399999999994,0.034200000000000001,19.573599999999999,0.028919125782457984,-0.083560466758802576,0.11247959254126055,19.686079592541258
792,15234,0.13514000000000001,0.13003999999999999,9.9836200000000002,0.0654,19.8245,0.047150703589099521,-0.11307460097489741,0.16022530456399692,19.984725304563998
793,000014,0.13599,-0.111842,9.8041499999999999,0.035000000000000003,19.7241,0.053440683765555608,0.035991916314341579,0.017448767451214028,19.741548767451214
799,15171,0.13818,-0.072561,9.85121,0.0281,19.697299999999998,0.02893508365172498,0.00064438525838752397,0.028290698393337456,19.725590698393336
801,20084,0.13833999999999999,0.14895,9.9201300000000003,0.021899999999999999,19.787099999999999,0.05275365565855461,-0.12373897595280604,0.17649263161136064,19.963592631611359
807,340229,0.14108000000000001,-0.0055840000000000004,9.6937800000000003,0.0037000000000000002,19.787700000000001,0.015625161662815214,-0.044439214791177607,0.060064376453992818,19.847764376453995
808,1317666,0.14119999999999999,0.067003999999999994,9.6856100000000005,0.043299999999999998,19.870699999999999,0.027704561688004614,-0.081489746844702074,0.10919430853270669,19.979894308532707
809,2635,0.14310999999999999,-0.045748999999999998,9.5962800000000001,0.019699999999999999,19.794,0.019849362238235798,-0.019316026404233022,0.039165388642468824,19.83316538864247
813,8921,0.14410000000000001,-7.9999999999999996e-06,9.5206300000000006,0.0094999999999999998,19.763000000000002,0.015785384624353825,-0.047574170335829509,0.063359554960183334,19.826359554960185
817,1316385,0.14741000000000001,-0.011258000000000001,9.6395099999999996,0.0091999999999999998,19.7624,0.015631944731062889,-0.041172775758808615,0.056804720489871507,19.819204720489871
818,13796,0.14729,-0.021491,9.6695200000000003,0.010699999999999999,19.714200000000002,0.016104307697654942,-0.03506806976955236,0.051172377467207306,19.765372377467209
822,14437,0.14792,-0.097743999999999998,9.9109700000000007,0.043299999999999998,19.7852,0.042971819135900605,0.022370930456733593,0.020600888679167012,19.805800888679165
